id,type,x_coord,y_coord,height_m,ground_elevation_m,description
JEJU_OBS_001,Tree,333620.69,1267400.53,41.6,15.253220115427363,Test obstacle 1 for Jeju Airport
JEJU_OBS_002,Antenna,327668.05,1262015.49,80.9,33.149013587339894,Test obstacle 2 for Jeju Airport
JEJU_OBS_003,Antenna,332434.85,1268006.85,108.2,28.639489428000388,Test obstacle 3 for Jeju Airport
JEJU_OBS_004,Tree,332827.59,1259486.62,67.5,28.04112764663777,Test obstacle 4 for Jeju Airport
JEJU_OBS_005,Structure,326368.69,1256918.41,24.9,20.634207237552722,Test obstacle 5 for Jeju Airport
JEJU_OBS_006,Building,333612.31,1264458.28,40.4,43.985198600777245,Test obstacle 6 for Jeju Airport
JEJU_OBS_007,Tree,327910.74,1263735.09,30.0,26.987766942033314,Test obstacle 7 for Jeju Airport
JEJU_OBS_008,Antenna,334350.3,1267005.71,10.6,42.85830226422313,Test obstacle 8 for Jeju Airport
JEJU_OBS_009,Building,328652.34,1263803.58,29.8,24.463597946835808,Test obstacle 9 for Jeju Airport
JEJU_OBS_010,Tree,329533.1,1261797.78,29.7,13.617801150236447,Test obstacle 10 for Jeju Airport
JEJU_OBS_011,Antenna,335371.84,1263971.31,62.7,27.332679315368775,Test obstacle 11 for Jeju Airport
JEJU_OBS_012,Tree,333910.19,1253479.55,32.3,3.832167510670476,Test obstacle 12 for Jeju Airport
JEJU_OBS_013,Tree,335969.97,1265604.42,27.0,17.634261557157714,Test obstacle 13 for Jeju Airport
JEJU_OBS_014,Building,332585.92,1259550.02,44.8,32.886283061339164,Test obstacle 14 for Jeju Airport
JEJU_OBS_015,Tree,340232.89,1258747.3,81.7,22.77094960115269,Test obstacle 15 for Jeju Airport
JEJU_OBS_016,Tower,332504.29,1272702.61,81.3,11.089724539074625,Test obstacle 16 for Jeju Airport
JEJU_OBS_017,Structure,328333.59,1263286.78,62.8,35.48347072399769,Test obstacle 17 for Jeju Airport
JEJU_OBS_018,Structure,331618.85,1264394.25,55.3,10.54057247371724,Test obstacle 18 for Jeju Airport
JEJU_OBS_019,Tree,332515.8,1265473.38,61.4,47.60891866562719,Test obstacle 19 for Jeju Airport
JEJU_OBS_020,Antenna,334145.93,1261628.68,15.1,19.96375819753465,Test obstacle 20 for Jeju Airport
JEJU_OBS_021,Tower,328075.59,1260244.25,51.3,11.07675141709612,Test obstacle 21 for Jeju Airport
JEJU_OBS_022,Structure,324497.58,1268086.21,36.2,21.58204838794513,Test obstacle 22 for Jeju Airport
JEJU_OBS_023,Structure,335945.97,1257807.03,49.0,28.95999669596476,Test obstacle 23 for Jeju Airport
JEJU_OBS_024,Tower,334738.69,1264028.65,27.4,2.4517270263277213,Test obstacle 24 for Jeju Airport
JEJU_OBS_025,Antenna,338203.54,1265340.24,27.0,7.738198681027092,Test obstacle 25 for Jeju Airport
JEJU_OBS_026,Tower,335038.07,1262430.88,67.2,4.88984832862211,Test obstacle 26 for Jeju Airport
JEJU_OBS_027,Structure,330981.46,1271664.34,20.3,45.30848014771056,Test obstacle 27 for Jeju Airport
JEJU_OBS_028,Tower,331672.49,1262275.38,12.6,11.508428778088236,Test obstacle 28 for Jeju Airport
JEJU_OBS_029,Tree,339834.45,1269921.34,70.0,47.383367954676295,Test obstacle 29 for Jeju Airport
JEJU_OBS_030,Tree,329602.56,1265279.07,10.7,0.13991031645788632,Test obstacle 30 for Jeju Airport
JEJU_OBS_031,Building,333419.75,1267986.08,17.6,12.050744350116476,Test obstacle 31 for Jeju Airport
JEJU_OBS_032,Building,329791.05,1259104.09,50.7,34.22407716061638,Test obstacle 32 for Jeju Airport
JEJU_OBS_033,Structure,333357.89,1266626.32,27.6,3.832127751138864,Test obstacle 33 for Jeju Airport
JEJU_OBS_034,Building,326989.69,1264381.77,24.5,18.77147384392972,Test obstacle 34 for Jeju Airport
JEJU_OBS_035,Building,338151.97,1254971.06,105.4,12.485505264193913,Test obstacle 35 for Jeju Airport
JEJU_OBS_036,Tree,335656.96,1261933.02,57.8,41.35138913744045,Test obstacle 36 for Jeju Airport
JEJU_OBS_037,Tower,335596.31,1271324.94,43.3,47.659811038251895,Test obstacle 37 for Jeju Airport
JEJU_OBS_038,Antenna,329933.27,1260114.46,20.5,49.842281473219536,Test obstacle 38 for Jeju Airport
JEJU_OBS_039,Antenna,336098.09,1259078.49,37.6,32.19190375456806,Test obstacle 39 for Jeju Airport
JEJU_OBS_040,Tower,332143.27,1262069.12,27.9,33.5202271373401,Test obstacle 40 for Jeju Airport
JEJU_OBS_041,Building,325691.25,1259954.1,40.6,10.314814347379386,Test obstacle 41 for Jeju Airport
JEJU_OBS_042,Tower,336425.76,1256413.84,89.2,32.94404090703183,Test obstacle 42 for Jeju Airport
JEJU_OBS_043,Tower,331297.17,1262050.14,6.4,25.26698748156353,Test obstacle 43 for Jeju Airport
JEJU_OBS_044,Building,332081.9,1261924.3,5.4,20.43722993288803,Test obstacle 44 for Jeju Airport
JEJU_OBS_045,Structure,328233.21,1266464.3,22.7,9.588695328195445,Test obstacle 45 for Jeju Airport
JEJU_OBS_046,Antenna,332467.85,1260235.66,38.9,8.22630897378091,Test obstacle 46 for Jeju Airport
JEJU_OBS_047,Tree,336635.53,1265676.52,27.0,3.704682541569504,Test obstacle 47 for Jeju Airport
JEJU_OBS_048,Tree,338770.73,1264509.75,86.2,36.452683248242,Test obstacle 48 for Jeju Airport
JEJU_OBS_049,Tower,325072.53,1257638.19,52.3,21.701720679851018,Test obstacle 49 for Jeju Airport
JEJU_OBS_050,Antenna,333743.99,1263950.02,49.3,23.608556979315416,Test obstacle 50 for Jeju Airport
JEJU_OBS_051,Building,338198.69,1256535.68,33.4,20.215813700379737,Test obstacle 51 for Jeju Airport
JEJU_OBS_052,Structure,331654.79,1263206.78,37.2,29.97238648061378,Test obstacle 52 for Jeju Airport
JEJU_OBS_053,Antenna,337527.88,1266788.0,98.9,34.734328630232724,Test obstacle 53 for Jeju Airport
JEJU_OBS_054,Building,327014.75,1257725.99,99.1,23.865214049116318,Test obstacle 54 for Jeju Airport
JEJU_OBS_055,Antenna,333700.38,1265789.86,70.5,26.573058780518416,Test obstacle 55 for Jeju Airport
JEJU_OBS_056,Antenna,323226.15,1261878.73,24.8,28.013747297622928,Test obstacle 56 for Jeju Airport
JEJU_OBS_057,Tower,336275.04,1265227.21,23.8,33.060379624962074,Test obstacle 57 for Jeju Airport
JEJU_OBS_058,Tower,333388.22,1263888.7,19.8,49.30387999729559,Test obstacle 58 for Jeju Airport
JEJU_OBS_059,Tower,324831.1,1265768.95,53.2,49.3701989133494,Test obstacle 59 for Jeju Airport
JEJU_OBS_060,Antenna,334896.14,1263448.56,49.6,18.974952388785265,Test obstacle 60 for Jeju Airport
JEJU_OBS_061,Tree,329939.14,1262655.29,27.7,33.47106224017726,Test obstacle 61 for Jeju Airport
JEJU_OBS_062,Building,334233.68,1261922.58,42.5,44.94473031023949,Test obstacle 62 for Jeju Airport
JEJU_OBS_063,Tree,326334.16,1258081.14,91.3,26.104152904257916,Test obstacle 63 for Jeju Airport
JEJU_OBS_064,Tower,330454.03,1254548.4,65.9,43.08932235297682,Test obstacle 64 for Jeju Airport
JEJU_OBS_065,Tree,335253.51,1265471.62,36.5,30.298237066698995,Test obstacle 65 for Jeju Airport
JEJU_OBS_066,Tree,339670.64,1256631.53,44.6,21.97514070581673,Test obstacle 66 for Jeju Airport
JEJU_OBS_067,Building,330196.76,1266134.58,43.8,16.7657111379717,Test obstacle 67 for Jeju Airport
